======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATIONS
======================================================================
You can reach key global markets early in the day with FedEx
International First. Delivery is in 1, 2 or 3 business days to
select postal codes. Ship packages up to 150 lbs. (unlimited total
shipment weight). See below for a complete list of the cities
and postal codes served, and our delivery commitment time. For
service details, see FedEx International First in Our Services.

Delivery is available outbound from the U.S. to:
Australia          England             Mexico
Austria            France              Netherlands
Belgium            Germany             Puerto Rico
Brazil             India               Singapore
Canada             Italy               Spain
China              Japan               Switzerland
Denmark            Luxembourg



======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATION POSTAL CODES
======================================================================

Effective: October 2, 2012
City                                              Postal Code                                   Del. By

CARRIERES SUR SEINE CEDEX                         78422                                         10:00am
CARRIERES SUR SEINE CEDEX                         78423                                         10:00am
CARRIERES SUR SEINE CEDEX                         78424                                         10:00am
CARRIERES SUR SEINE CEDEX                         78425                                         10:00am
CARRIERES SUR SEINE CEDEX                         78429                                         10:00am
CARVIN                                            62220                                         9:30am
CAUDEBEC LES ELBEUF                               76320                                         10:00am
CERNAY                                            68700                                         9:30am
CERNAY CEDEX                                      68701                                         9:30am
CERNAY CEDEX                                      68702                                         9:30am
CERNAY CEDEX                                      68703                                         9:30am
CERNAY CEDEX                                      68704                                         9:30am
CERNAY CEDEX                                      68705                                         9:30am
CHAMPAGNE AU MONT D OR                            69410                                         10:00am
CHAMPAGNE AU MONT D OR CEDEX                      69541                                         10:00am
CHAMPAGNE AU MONT D OR CEDEX                      69542                                         10:00am
CHAMPAGNE AU MONT D OR CEDEX                      69543                                         10:00am
CHAMPAGNE AU MONT D OR CEDEX                      69544                                         10:00am
CHAMPAGNE AU MONT D OR CEDEX                      69545                                         10:00am
CHASSIEU                                          69680                                         10:00am
CHASSIEU CEDEX                                    69681                                         10:00am
CHASSIEU CEDEX                                    69682                                         10:00am
CHASSIEU CEDEX                                    69683                                         10:00am
CHASSIEU CEDEX                                    69684                                         10:00am
CHASSIEU CEDEX                                    69685                                         10:00am
CHASSIEU CEDEX                                    69686                                         10:00am
CHASSIEU CEDEX                                    69687                                         10:00am
CHASSIEU CEDEX                                    69688                                         10:00am
CHASSIEU CEDEX                                    69689                                         10:00am
CHATILLON                                         92320                                         10:00am
CHATILLON CEDEX                                   92321                                         10:00am
CHATILLON CEDEX                                   92322                                         10:00am
CHATILLON CEDEX                                   92323                                         10:00am
CHATILLON CEDEX                                   92324                                         10:00am
CHATILLON CEDEX                                   92325                                         10:00am
CHATILLON CEDEX                                   92326                                         10:00am
CHATILLON CEDEX                                   92328                                         10:00am
CHATILLON CEDEX                                   92329                                         10:00am
CHATOU                                            78400                                         10:00am
CHATOU CEDEX                                      78401                                         10:00am
CHATOU CEDEX                                      78402                                         10:00am
CHATOU CEDEX                                      78403                                         10:00am
CHATOU CEDEX                                      78404                                         10:00am
CHATOU CEDEX                                      78406                                         10:00am
CHATOU CEDEX                                      78409                                         10:00am
CHAVILLE                                          92370                                         9:30am
CLAMART                                           92140                                         10:00am
CLAMART CEDEX                                     92141                                         10:00am
CLAMART CEDEX                                     92142                                         10:00am
CLAMART CEDEX                                     92143                                         10:00am
CLAMART CEDEX                                     92144                                         10:00am
CLAMART CEDEX                                     92145                                         10:00am
CLAMART CEDEX                                     92146                                         10:00am
CLAMART CEDEX                                     92147                                         10:00am
CLAMART CEDEX                                     92148                                         10:00am
CLAMART CEDEX                                     92149                                         10:00am
CLAYE SOUILLY                                     77410                                         9:30am
CLAYE SOUILLY CEDEX                               77411                                         9:30am
CLAYE SOUILLY CEDEX                               77412                                         9:30am
CLAYE SOUILLY CEDEX                               77413                                         9:30am
CLAYE SOUILLY CEDEX                               77414                                         9:30am
CLAYE SOUILLY CEDEX                               77415                                         9:30am
CLAYE SOUILLY CEDEX                               77416                                         9:30am
CLAYE SOUILLY CEDEX                               77417                                         9:30am
CLAYE SOUILLY CEDEX                               77418                                         9:30am
CLAYE SOUILLY CEDEX                               77419                                         9:30am
CLEON                                             76410                                         10:00am
CLICHY                                            92110                                         9:00am
CLICHY CEDEX                                      92111                                         9:00am
CLICHY CEDEX                                      92112                                         9:00am
CLICHY CEDEX                                      92113                                         9:00am
CLICHY CEDEX                                      92114                                         9:00am
CLICHY CEDEX                                      92115                                         9:00am
CLICHY CEDEX                                      92116                                         9:00am
CLICHY CEDEX                                      92117                                         9:00am
CLICHY CEDEX                                      92118                                         9:00am
CLICHY CEDEX                                      92119                                         9:00am
CLICHY CEDEX                                      92581                                         9:00am
CLICHY CEDEX                                      92582                                         9:00am
CLICHY CEDEX                                      92583                                         9:00am
CLICHY CEDEX                                      92584                                         9:00am
CLICHY CEDEX                                      92585                                         9:00am
CLICHY CEDEX                                      92586                                         9:00am
CLICHY CEDEX                                      92587                                         9:00am
CLICHY CEDEX                                      92588                                         9:00am
CLICHY CEDEX                                      92589                                         9:00am
CLICHY CEDEX                                      92611                                         9:00am
CLICHY CEDEX                                      92612                                         9:00am
CLICHY CEDEX                                      92613                                         9:00am
CLICHY CEDEX                                      92614                                         9:00am
CLICHY CEDEX                                      92615                                         9:00am
CLICHY CEDEX                                      92616                                         9:00am
CLICHY SOUS BOIS                                  93390                                         9:30am
COLMAR                                            68000                                         10:00am
COLMAR CEDEX                                      68001                                         10:00am
COLMAR CEDEX                                      68002                                         10:00am
COLMAR CEDEX                                      68003                                         10:00am
COLMAR CEDEX                                      68004                                         10:00am
COLMAR CEDEX                                      68005                                         10:00am
COLMAR CEDEX                                      68006                                         10:00am
COLMAR CEDEX                                      68007                                         10:00am
COLMAR CEDEX                                      68008                                         10:00am
COLMAR CEDEX                                      68009                                         10:00am
COLMAR CEDEX                                      68010                                         10:00am
COLMAR CEDEX                                      68011                                         10:00am
COLMAR CEDEX                                      68012                                         10:00am
COLMAR CEDEX                                      68013                                         10:00am
COLMAR CEDEX                                      68014                                         10:00am
COLMAR CEDEX                                      68015                                         10:00am
COLMAR CEDEX                                      68016                                         10:00am
COLMAR CEDEX                                      68017                                         10:00am
COLMAR CEDEX                                      68018                                         10:00am
COLMAR CEDEX                                      68019                                         10:00am
COLMAR CEDEX                                      68020                                         10:00am
COLMAR CEDEX                                      68021                                         10:00am
COLMAR CEDEX                                      68022                                         10:00am
COLMAR CEDEX                                      68023                                         10:00am
COLMAR CEDEX                                      68024                                         10:00am
COLMAR CEDEX                                      68025                                         10:00am
COLMAR CEDEX                                      68026                                         10:00am
COLMAR CEDEX                                      68027                                         10:00am
COLMAR CEDEX                                      68028                                         10:00am
COLMAR CEDEX                                      68029                                         10:00am
COLMAR CEDEX                                      68030                                         10:00am
COLOMBES                                          92700                                         9:00am
COLOMBES CEDEX                                    92701                                         9:00am
COLOMBES CEDEX                                    92702                                         9:00am
COLOMBES CEDEX                                    92703                                         9:00am
COLOMBES CEDEX                                    92704                                         9:00am
COLOMBES CEDEX                                    92705                                         9:00am
COLOMBES CEDEX                                    92706                                         9:00am
COLOMBES CEDEX                                    92707                                         9:00am
COLOMBES CEDEX                                    92708                                         9:00am
COLOMBES CEDEX                                    92709                                         9:00am
COLOMBES CEDEX                                    92711                                         9:00am
COLOMBES CEDEX                                    92712                                         9:00am
COLOMBES CEDEX                                    92713                                         9:00am
COLOMBES CEDEX                                    92714                                         9:00am
COLOMBES CEDEX                                    92715                                         9:00am
COLOMIERS                                         31770                                         10:00am
COLOMIERS CEDEX                                   31771                                         10:00am
COLOMIERS CEDEX                                   31772                                         10:00am
COLOMIERS CEDEX                                   31773                                         10:00am
COLOMIERS CEDEX                                   31774                                         10:00am
COLOMIERS CEDEX                                   31775                                         10:00am
COLOMIERS CEDEX                                   31776                                         10:00am
COLOMIERS CEDEX                                   31777                                         10:00am
COLOMIERS CEDEX                                   31778                                         10:00am
COLOMIERS CEDEX                                   31779                                         10:00am
CORBAS                                            69960                                         10:00am
CORBEHEM                                          62112                                         10:00am
COUBRON                                           93470                                         9:30am
COURBEVOIE                                        92400                                         9:00am
COURBEVOIE CEDEX                                  92401                                         9:00am
COURBEVOIE CEDEX                                  92402                                         9:00am
COURBEVOIE CEDEX                                  92403                                         9:00am
COURBEVOIE CEDEX                                  92404                                         9:00am
COURBEVOIE CEDEX                                  92405                                         9:00am
COURBEVOIE CEDEX                                  92406                                         9:00am
COURBEVOIE CEDEX                                  92407                                         9:00am
COURBEVOIE CEDEX                                  92408                                         9:00am
COURBEVOIE CEDEX                                  92409                                         9:00am
COURBEVOIE CEDEX                                  92411                                         9:00am
COURBEVOIE CEDEX                                  92412                                         9:00am
COURBEVOIE CEDEX                                  92413                                         9:00am
COURBEVOIE CEDEX                                  92414                                         9:00am
COURBEVOIE CEDEX                                  92415                                         9:00am
COURBEVOIE CEDEX                                  92416                                         9:00am
COURBEVOIE CEDEX                                  92417                                         9:00am
COURBEVOIE CEDEX                                  92418                                         9:00am
COURBEVOIE CEDEX                                  92419                                         9:00am
COURBEVOIE CEDEX                                  92671                                         9:00am
COURBEVOIE CEDEX                                  92672                                         9:00am
COURBEVOIE CEDEX                                  92675                                         9:00am
COURBEVOIE CEDEX                                  92677                                         9:00am
COURBEVOIE CEDEX                                  92679                                         9:00am
COURCELLES LES LENS                               62970                                         10:00am
COURRIERES                                        62710                                         9:30am
CRAPONNE                                          69290                                         10:00am
CROISSY SUR SEINE                                 78290                                         10:00am
CROIX                                             59170                                         9:00am
CROIX CEDEX                                       59345                                         9:00am
CROIX CEDEX                                       59346                                         9:00am
CROIX CEDEX                                       59681                                         9:00am
CROIX CEDEX                                       59961                                         9:00am
CROIX CEDEX                                       59962                                         9:00am
CROIX CEDEX                                       59963                                         9:00am
CROIX CEDEX                                       59964                                         9:00am
CROIX CEDEX                                       59965                                         9:00am
CROIX CEDEX                                       59966                                         9:00am
CROIX CEDEX                                       59967                                         9:00am
CROIX CEDEX                                       59969                                         9:00am
CUINCY                                            59553                                         10:00am
DAMMARTIN EN GOELE                                77230                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77231                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77232                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77233                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77234                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77235                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77236                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77237                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77238                                         9:30am
DAMMARTIN EN GOELE CEDEX                          77239                                         9:30am
DANNEMARIE                                        68210                                         9:30am
DARDILLY                                          69570                                         10:00am
DARDILLY CEDEX                                    69139                                         10:00am
DARDILLY CEDEX                                    69571                                         10:00am
DARDILLY CEDEX                                    69572                                         10:00am
DARDILLY CEDEX                                    69573                                         10:00am
DARDILLY CEDEX                                    69574                                         10:00am
DARDILLY CEDEX                                    69575                                         10:00am
DECHY                                             59187                                         10:00am
DECINES CHARPIEU                                  69150                                         10:00am
DECINES CHARPIEU CEDEX                            69151                                         10:00am
DECINES CHARPIEU CEDEX                            69152                                         10:00am
DECINES CHARPIEU CEDEX                            69153                                         10:00am
DECINES CHARPIEU CEDEX                            69154                                         10:00am
DECINES CHARPIEU CEDEX                            69155                                         10:00am
DECINES CHARPIEU CEDEX                            69156                                         10:00am
DECINES CHARPIEU CEDEX                            69157                                         10:00am
DECINES CHARPIEU CEDEX                            69158                                         10:00am
DECINES CHARPIEU CEDEX                            69159                                         10:00am
DEUIL LA BARRE                                    95170                                         9:30am
DEUIL LA BARRE CEDEX                              95171                                         9:30am
DEUIL LA BARRE CEDEX                              95172                                         9:30am
DEUIL LA BARRE CEDEX                              95173                                         9:30am
DEUIL LA BARRE CEDEX                              95174                                         9:30am
DEUIL LA BARRE CEDEX                              95175                                         9:30am
DEUIL LA BARRE CEDEX                              95176                                         9:30am
DEUIL LA BARRE CEDEX                              95177                                         9:30am
DEUIL LA BARRE CEDEX                              95178                                         9:30am
DEUIL LA BARRE CEDEX                              95179                                         9:30am
DEVILLE LES ROUEN                                 76250                                         10:00am
DON                                               59272                                         9:30am
DOUAI                                             59500                                         10:00am
DOUAI CEDEX                                       59351                                         10:00am
DOUAI CEDEX                                       59359                                         10:00am
DOUAI CEDEX                                       59501                                         10:00am
DOUAI CEDEX                                       59502                                         10:00am
DOUAI CEDEX                                       59503                                         10:00am
DOUAI CEDEX                                       59504                                         10:00am
DOUAI CEDEX                                       59505                                         10:00am
DOUAI CEDEX                                       59506                                         10:00am
DOUAI CEDEX                                       59507                                         10:00am
DOUAI CEDEX                                       59508                                         10:00am
DOUAI CEDEX                                       59509                                         10:00am
DOURGES                                           62119                                         10:00am
DRANCY                                            93700                                         9:00am
DRANCY CEDEX                                      93701                                         9:00am
DRANCY CEDEX                                      93705                                         9:00am
DRANCY CEDEX                                      93709                                         9:00am
DRANCY CEDEX                                      93711                                         9:00am
DRANCY CEDEX                                      93712                                         9:00am
DRANCY CEDEX                                      93713                                         9:00am
DRANCY CEDEX                                      93714                                         9:00am
DRANCY CEDEX                                      93715                                         9:00am
DRANCY CEDEX                                      93716                                         9:00am
DRANCY CEDEX                                      93717                                         9:00am
DRANCY CEDEX                                      93718                                         9:00am
DRANCY CEDEX                                      93719                                         9:00am
DUGNY                                             93440                                         9:00am
DUGNY CEDEX                                       93441                                         9:00am
DUGNY CEDEX                                       93445                                         9:00am
DUGNY CEDEX                                       93449                                         9:00am
ECULLY                                            69130                                         10:00am
ECULLY CEDEX                                      69131                                         10:00am
ECULLY CEDEX                                      69132                                         10:00am
ECULLY CEDEX                                      69133                                         10:00am
ECULLY CEDEX                                      69134                                         10:00am
ECULLY CEDEX                                      69135                                         10:00am
ECULLY CEDEX                                      69136                                         10:00am
ECULLY CEDEX                                      69137                                         10:00am
ECULLY CEDEX                                      69138                                         10:00am
EGUISHEIM                                         68420                                         10:00am
ENGHIEN LES BAINS                                 95880                                         9:30am
ENSISHEIM                                         68190                                         9:30am
EPINAY SUR SEINE                                  93800                                         9:00am
EPINAY SUR SEINE CEDEX                            93801                                         9:00am
EPINAY SUR SEINE CEDEX                            93802                                         9:00am
EPINAY SUR SEINE CEDEX                            93803                                         9:00am
EPINAY SUR SEINE CEDEX                            93804                                         9:00am
EPINAY SUR SEINE CEDEX                            93805                                         9:00am
EPINAY SUR SEINE CEDEX                            93806                                         9:00am
EPINAY SUR SEINE CEDEX                            93807                                         9:00am
EPINAY SUR SEINE CEDEX                            93808                                         9:00am
EPINAY SUR SEINE CEDEX                            93809                                         9:00am
ERQUINGHEM LYS                                    59193                                         10:00am
ESTAIRES                                          59940                                         10:00am
EURALILLE                                         59777                                         9:00am
EVIN MALMAISON                                    62141                                         9:30am
EVREUX                                            27000                                         10:00am
EVREUX CEDEX                                      27001                                         10:00am
EVREUX CEDEX                                      27002                                         10:00am
EVREUX CEDEX                                      27003                                         10:00am
EVREUX CEDEX                                      27004                                         10:00am
EVREUX CEDEX                                      27005                                         10:00am
EVREUX CEDEX                                      27006                                         10:00am
EVREUX CEDEX                                      27007                                         10:00am
EVREUX CEDEX                                      27008                                         10:00am
EVREUX CEDEX                                      27009                                         10:00am
EVREUX CEDEX                                      27010                                         10:00am
EVREUX CEDEX                                      27011                                         10:00am
EVREUX CEDEX                                      27012                                         10:00am
EVREUX CEDEX                                      27013                                         10:00am
EVREUX CEDEX                                      27014                                         10:00am
EVREUX CEDEX                                      27015                                         10:00am
EVREUX CEDEX                                      27016                                         10:00am
EVREUX CEDEX                                      27017                                         10:00am
EVREUX CEDEX                                      27018                                         10:00am
EVREUX CEDEX                                      27019                                         10:00am
EVREUX CEDEX                                      27020                                         10:00am
EVREUX CEDEX                                      27021                                         10:00am
EVREUX CEDEX                                      27022                                         10:00am
EVREUX CEDEX                                      27023                                         10:00am
EVREUX CEDEX                                      27024                                         10:00am
EVREUX CEDEX                                      27025                                         10:00am
EVREUX CEDEX                                      27026                                         10:00am
EVREUX CEDEX                                      27027                                         10:00am
EVREUX CEDEX                                      27028                                         10:00am
EVREUX CEDEX                                      27029                                         10:00am
EVREUX CEDEX                                      27030                                         10:00am
EVREUX CEDEX                                      27031                                         10:00am
EVREUX CEDEX                                      27032                                         10:00am
EVREUX CEDEX                                      27033                                         10:00am
EVREUX CEDEX                                      27034                                         10:00am
EVREUX CEDEX                                      27035                                         10:00am
EVREUX CEDEX                                      27036                                         10:00am
EVREUX CEDEX                                      27037                                         10:00am
EVREUX CEDEX                                      27038                                         10:00am
EVREUX CEDEX                                      27039                                         10:00am
EVREUX CEDEX                                      27040                                         10:00am
EVREUX CEDEX                                      27041                                         10:00am
EVREUX CEDEX                                      27042                                         10:00am
EVREUX CEDEX                                      27043                                         10:00am
EVREUX CEDEX                                      27044                                         10:00am
EVREUX CEDEX                                      27045                                         10:00am
EVREUX CEDEX                                      27046                                         10:00am
EVREUX CEDEX                                      27047                                         10:00am
EVREUX CEDEX                                      27048                                         10:00am
EVREUX CEDEX                                      27049                                         10:00am
EVREUX CEDEX 9                                    27090                                         10:00am
EVREUX CEDEX 9                                    27091                                         10:00am
EVREUX CEDEX 9                                    27092                                         10:00am
EVREUX CEDEX 9                                    27093                                         10:00am
EVREUX CEDEX 9                                    27094                                         10:00am
EVREUX CEDEX 9                                    27095                                         10:00am
EVREUX CEDEX 9                                    27096                                         10:00am
EVREUX CEDEX 9                                    27097                                         10:00am
EVREUX CEDEX 9                                    27098                                         10:00am
EVREUX CEDEX 9                                    27099                                         10:00am
EVREUX CEDEX 9                                    27901                                         10:00am
EVREUX CEDEX 9                                    27902                                         10:00am
EVREUX CEDEX 9                                    27903                                         10:00am
EVREUX CEDEX 9                                    27904                                         10:00am
EVREUX CEDEX 9                                    27905                                         10:00am
EVREUX CEDEX 9                                    27906                                         10:00am
EVREUX CEDEX 9                                    27907                                         10:00am
EVREUX CEDEX 9                                    27908                                         10:00am
EVREUX CEDEX 9                                    27909                                         10:00am
EVREUX CEDEX 9                                    27911                                         10:00am
EVREUX CEDEX 9                                    27914                                         10:00am
EVREUX CEDEX 9                                    27915                                         10:00am
EVREUX CEDEX 9                                    27919                                         10:00am
EVREUX CEDEX 9                                    27924                                         10:00am
EVREUX CEDEX 9                                    27928                                         10:00am
EVREUX CEDEX 9                                    27929                                         10:00am
EVREUX CEDEX 9                                    27948                                         10:00am
EVREUX CEDEX 9                                    27949                                         10:00am
FACHES THUMESNIL                                  59155                                         9:00am
FELLERING                                         68470                                         10:00am
FENAIN                                            59179                                         10:00am
FERIN                                             59169                                         10:00am
FERRETTE                                          68480                                         9:30am
FESSENHEIM                                        68740                                         9:30am
FEYZIN                                            69320                                         10:00am
FEYZIN CEDEX                                      69551                                         10:00am
FEYZIN CEDEX                                      69552                                         10:00am
FEYZIN CEDEX                                      69553                                         10:00am
FEYZIN CEDEX                                      69554                                         10:00am
FEYZIN CEDEX                                      69555                                         10:00am
FEYZIN CEDEX                                      69556                                         10:00am
FEYZIN CEDEX                                      69557                                         10:00am
FEYZIN CEDEX                                      69558                                         10:00am
FEYZIN CEDEX                                      69559                                         10:00am
FLERS EN ESCREBIEUX                               59128                                         10:00am
FLINES LEZ RACHES                                 59148                                         10:00am
FONTENAY SOUS BOIS                                94120                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94121                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94122                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94123                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94124                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94125                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94126                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94127                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94128                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94129                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94131                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94132                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94133                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94134                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94135                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94136                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94137                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94138                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94139                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94721                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94722                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94723                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94724                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94725                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94726                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94727                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94728                                         10:00am
FONTENAY SOUS BOIS CEDEX                          94729                                         10:00am
FOSSES                                            95470                                         9:30am
FOSSES CEDEX                                      95471                                         9:30am
FOSSES CEDEX                                      95472                                         9:30am
FOSSES CEDEX                                      95473                                         9:30am
FOSSES CEDEX                                      95474                                         9:30am
FOSSES CEDEX                                      95475                                         9:30am
FOSSES CEDEX                                      95476                                         9:30am
FOSSES CEDEX                                      95477                                         9:30am
FOSSES CEDEX                                      95478                                         9:30am
FOSSES CEDEX                                      95479                                         9:30am
FOUQUIERES LES LENS                               62740                                         10:00am
FOURNES EN WEPPES                                 59134                                         9:30am
FRETIN                                            59273                                         9:00am
GARCHES                                           92380                                         9:30am
GARGES LES GONESSE                                95140                                         9:00am
GARGES LES GONESSE CEDEX                          95141                                         9:00am
GARGES LES GONESSE CEDEX                          95142                                         9:00am
