======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATIONS
======================================================================
You can reach key global markets early in the day with FedEx
International First. Delivery is in 1, 2 or 3 business days to
select postal codes. Ship packages up to 150 lbs. (unlimited total
shipment weight). See below for a complete list of the cities
and postal codes served, and our delivery commitment time. For
service details, see FedEx International First in Our Services.

Delivery is available outbound from the U.S. to:
Australia          England             Mexico
Austria            France              Netherlands
Belgium            Germany             Puerto Rico
Brazil             India               Singapore
Canada             Italy               Spain
China              Japan               Switzerland
Denmark            Luxembourg



======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATION POSTAL CODES
======================================================================

Effective: October 2, 2012
City                                              Postal Code                                   Del. By

VIENNA                                            1033                                          9:30am
VIENNA                                            1034                                          9:30am
VIENNA                                            1035                                          9:30am
VIENNA                                            1036                                          9:30am
VIENNA                                            1037                                          9:30am
VIENNA                                            1038                                          9:30am
VIENNA                                            1040                                          9:30am
VIENNA                                            1042                                          9:30am
VIENNA                                            1043                                          9:30am
VIENNA                                            1045                                          9:30am
VIENNA                                            1050                                          9:30am
VIENNA                                            1052                                          9:30am
VIENNA                                            1053                                          9:30am
VIENNA                                            1060                                          9:30am
VIENNA                                            1062                                          9:30am
VIENNA                                            1063                                          9:30am
VIENNA                                            1070                                          9:30am
VIENNA                                            1072                                          9:30am
VIENNA                                            1080                                          9:30am
VIENNA                                            1082                                          9:30am
VIENNA                                            1090                                          9:30am
VIENNA                                            1092                                          9:30am
VIENNA                                            1093                                          9:30am
VIENNA                                            1094                                          9:30am
VIENNA                                            1095                                          9:30am
VIENNA                                            1096                                          9:30am
VIENNA                                            1097                                          9:30am
VIENNA                                            1100                                          10:00am
VIENNA                                            1102                                          10:00am
VIENNA                                            1103                                          10:00am
VIENNA                                            1104                                          10:00am
VIENNA                                            1105                                          10:00am
VIENNA                                            1106                                          10:00am
VIENNA                                            1107                                          10:00am
VIENNA                                            1108                                          10:00am
VIENNA                                            1110                                          10:00am
VIENNA                                            1112                                          10:00am
VIENNA                                            1113                                          10:00am
VIENNA                                            1120                                          10:00am
