=====================================================================
FEDEX FREIGHT ADDITIONAL PICKUP AND DELIVERY CHARGE TIERS BY ZIP CODE
=====================================================================

CONTIGUOUS U.S.
An additional pickup and delivery charge will apply to shipments to/from select contiguous 
U.S. ZIP codes. For a list of the ZIP codes where this charge applies, see below. 
The additional charge applies to shipments rated using FedEx Freight zone-based pricing.

Effective Jan. 7, 2019

FedEx reserves the right in its sole discretion to change, without notice and as frequently 
as it determines, the list of postal codes where a pickup or delivery charge may apply.

========================================
ZIP CODE  ORIGIN TIER	DESTINATION TIER
05045-05046		A			A
05051			A			A
05054			A			A
05056			A			A
05058			A			A
05060-05062		A			A
05067-05070		A			A
05071			A			B
05072-05073		A			A
05076-05077		A			A
05079			A			B
05081			A			A
05083			A			A
05085			A			A
05091			A			A
05101			A			A
05141-05142		A			A
05143-05144		A			B
05146			A			A
05148			A			B
05149			A			A
05150			A			B
05151			A			A
05152			A			B
05153-05154		A			A
05155			A			B
05156			A			A
05161			A			A
05201			A			A
05250-05252		A			B
05253-05255		A			A
05257			A			A
05260-05261		A			A
05262			A			B
05340-05341		A			B
05342			A			A
05343			A			B
05344-05346		A			A
05350-05352		A			A
05353			A			B
05355			B			C
05356			A			B
05357			A			A
05359-05360		A			B
05361-05363		A			A
05440			A			A
05441-05442		A			B
05443-05444		A			A
05447			A			C
05448			A			A
05450			A			B
05454-05455		A			A
05457			A			B
05459			A			A
05460			A			B
05463-05464		A			A
05470-05471		B			C
05472			A			A
05474			A			A
05476			B			C
05478-05479		A			A
05481			A			A
05483			A			B
05485			A			A
05488			A			A
05492			A			A
05647			A			A
05652-05653		A			B
05655			A			A
05656			A			B
05657			A			A
05661-05662		A			A
05665			A			B
05672			A			A
05674			A			A
05680-05681		A			A
05731			A			A
05734			A			A
05740-05741		A			A
05746-05747		A			A
05748			A			B
05753			A			A
05760-05761		A			A
05764			A			A
05766			A			B
05767			A			A
05768			A			B
05769			A			A
05770			A			B
05772			A			A
05774-05775		A			A
05776			A			B
05778			A			A
05820			A			B
05822			A			A
05823			B			B
05825-05827		A			B
05829			A			B
05830			B			C
05833			A			B
05836-05837		A			A
05839			A			B
05840-05843		A			A
05845-05846		A			B
05847			B			C
05853			B			C
05855			A			B
05857			B			B
05859			B			C
05860			A			B
05867			A			A
05868			B			C
05872			A			B
05874			B			C
05875			A			B
05901-05903		B			D
05905-05906		A			A
05907			B			D
06230			A			A
06233			A			A
06239			A			A
06241-06242		A			A
06246-06247		A			A
06258-06260		A			A
06263			A			A
06267			A			A
06277-06278		A			A
06281-06282		A			A
07101-07104		A			A
07106-07108		A			A
08202			A			B
08204			B			B
08210			A			B
08212			B			B
08214			A			B
08217			A			A
08218-08219		A			B
08224			A			A
08230			A			A
08242			A			B
08243			A			A
08245			A			B
08246			A			A
08247			A			B
08248			A			A
08250			A			B
08251			B			B
08252			A			B
08260			A			B
08270			A			B
08311			A			A
08314-08316		A			A
08320			A			A
08321			A			B
08323-08324		A			A
08327			A			A
08329			A			A
08332			A			A
08344-08345		A			A
08347-08349		A			A
08352			A			A
10000-10499		G			G
10912			A			A
10914-10916		A			A
10918-10919		A			A
10921			A			A
10924			A			A
10932-10933		A			A
10940-10941		A			A
10958-10959		A			A
10963			A			B
10969			A			A
10973			A			A
10981			A			A
10985			A			B
10988			A			A
10990			A			A
10992			A			A
10998			A			A
11000-11499		G			G
11600-11699		G			G
11930			F			F
11932			F			F
11937			F			F
11939			F			F
11944			F			F
11954			F			F
11957			F			F
11962-11965		F			F
11975			F			F
12010			A			A
12015-12016		A			A
12025			A			A
12028			A			A
12031			A			A
12032			B			B
12035			A			A
12036			B			C
12043			A			A
12057			A			A
12064			A			C
12066			A			A
12068-12070		A			A
12071-12072		A			B
12074			A			A
12076			B			C
12078			A			A
12086			A			A
12089-12090		A			A
12092			A			A
12093			B			B
12095			A			A
12108			B			C
12116			B			C
12117			A			A
12120			A			A
12122			A			B
12131			A			B
12133			A			A
12134			B			B
12139			B			C
12149			A			B
12155			B			C
12157			A			A
12160			A			A
12164			B			C
12166			A			A
12167			B			C
12172			A			A
12175			A			B
12176-12177		A			A
12187			A			B
12190			B			B
12194			A			B
12197			B			C
12401-12402		A			A
12404			B			C
12405			A			B
12406			B			D
12407			B			C
12409			B			B
12410			B			D
12411			A			B
12412			B			C
12413			A			B
12414			A			A
12416			B			D
12417-12419		A			B
12420			B			C
12421			B			D
12422-12423		A			B
12424			B			C
12427-12428		B			C
12429			A			A
12430			B			D
12431-12432		A			A
12433			A			B
12434-12435		B			C
12436			A			B
12438			B			D
12439			B			C
12440			A			B
12441			B			D
12442			B			C
12443			A			B
12444			B			C
12446			B			C
12448			B			C
12449			A			A
12450			B			C
12451			A			A
12452			B			C
12453			A			A
12454			B			C
12455			B			D
12456			A			A
12457			B			C
12458			B			B
12459			C			E
12460			A			A
12461			B			C
12463			A			B
12464			B			C
12465			B			D
12466			A			B
12468			B			C
12469			A			A
12470-12473		A			B
12474			B			D
12475			A			A
12477			A			A
12480			B			D
12481			B			B
12482			A			A
12483			B			C
12484			A			B
12485			A			C
12486			A			B
12487			A			A
12489			B			B
12490			A			A
12491			A			B
12492			B			D
12493			A			A
12494-12496		B			C
12498			A			B
12504			A			A
12507-12508		A			A
12511-12515		A			A
12518			A			A
12520-12521		A			A
12524-12530		A			A
12533-12534		A			A
12537-12538		A			A
12541-12544		A			A
12547-12548		A			A
12549			A			B
12553			A			A
12561			A			A
12565			A			A
12566			A			B
12568			A			A
12570-12572		A			A
12574-12575		A			A
12577			A			A
12580			A			B
12583-12584		A			A
12586			A			A
12588			B			B
12589-12590		A			A
12701			B			C
12719-12720		B			C
12721-12722		A			B
12723			B			C
12724-12725		B			D
12726-12727		B			C
12729			A			B
12732-12734		B			C
12736-12738		B			C
12740			B			D
12741-12743		B			C
12745			B			C
12746			A			B
12747			B			D
12748-12752		B			C
12754			B			D
12758-12759		B			D
12760			B			C
12762-12764		B			C
12765-12766		B			D
12767			B			C
12768			B			D
12769			B			B
12770			B			C
12771			A			A
12775			B			C
12776			B			D
12777-12779		B			C
12780			A			B
12781			B			B
12783			B			D
12784			B			C
12785			B			B
12786			B			C
12787			B			D
12788-12789		B			C
12790			A			B
12791			B			D
12792			B			C
12808			A			B
12811			A			A
12812			B			C
12815-12817		A			A
12819			A			A
12836			A			B
12841			A			A
12842			B			B
12843			A			A
12847			B			D
12850			A			A
12851			A			B
12852			B			C
12853			A			A
12855			A			C
12856-12857		A			A
12858			A			B
12859-12860		A			A
12861			A			B
12862-12863		A			A
12864			B			B
12865			A			A
12870			A			B
12872			A			B
12873-12874		A			A
12878			A			A
12879			B			C
12883			A			B
12886			A			A
12912			A			A
12913			A			B
12914			B			C
12915			A			B
12916			B			D
12917			A			C
12919			A			A
12920			A			B
12922			C			E
12923			A			B
12926			B			C
12927			B			D
12928			B			B
12930			B			D
12932			A			B
12933-12935		A			A
12936			A			B
12937			B			C
12939			B			C
12941-12942		A			B
12943			B			C
12945-12946		B			C
12949			B			D
12950			A			A
12952			A			A
