=====================================================================
FEDEX FREIGHT ADDITIONAL PICKUP AND DELIVERY CHARGE TIERS BY ZIP CODE
=====================================================================

CONTIGUOUS U.S.
An additional pickup and delivery charge will apply to shipments to/from select contiguous 
U.S. ZIP codes. For a list of the ZIP codes where this charge applies, see below. 
The additional charge applies to shipments rated using FedEx Freight zone-based pricing.

Effective Jan. 7, 2019

FedEx reserves the right in its sole discretion to change, without notice and as frequently 
as it determines, the list of postal codes where a pickup or delivery charge may apply.

========================================
ZIP CODE  ORIGIN TIER	DESTINATION TIER
32347-32348		B			B
32356			B			C
32357			A			B
32358			A			A
32359			B			D
32360			A			A
32420			A			A
32421			A			B
32422			B			C
32423			A			A
32424-32425		A			B
32427			A			B
32428			A			A
32430			A			B
32431			A			A
32432			A			B
32433			B			B
32434			B			C
32435			B			B
32437-32438		A			A
32439			A			B
32442			B			B
32443			A			A
32445-32449		A			A
32452			A			A
32455			B			C
32456-32457		A			A
32459			A			A
32460			B			B
32462-32463		A			A
32464			B			C
32465			A			A
32531			A			B
32535			A			B
32536			B			B
32537			A			B
32538			B			C
32539			B			B
32540			A			B
32541			B			B
32542			A			B
32544			A			A
32547-32550		A			B
32564			A			A
32565			A			B
32567			B			C
32568-32569		A			A
32577			A			A
32578			B			B
32579			A			B
32580			B			C
32588			B			B
32619			A			A
32625			B			C
32626			A			B
32628			B			C
32639			A			B
32644			A			B
32648			B			C
32656			A			A
32680			A			B
32683			A			B
32692			B			C
32693			A			A
32702			A			A
32735			A			A
32754			A			A
32767			A			A
32775			A			A
32780-32784		A			A
32796			A			A
32801			A			A
32803			A			A
32805-32806		A			A
32813-32814		A			A
33001			F			F
33036-33037		F			F
33040-33045		F			F
33050-33052		F			F
33070			F			F
33128-33141		A			A
33401-33409		A			A
33411-33414		A			A
33430			A			A
33438			A			A
33440			B			B
33441-33443		A			A
33459			A			B
33471			B			B
33476			A			A
33493			A			B
33602			A			A
33605-33608		A			A
33611			A			A
33616			A			A
33621			A			A
33629			A			A
33825-33826		A			B
33827			A			A
33834			A			A
33843			A			A
33852			B			B
33854			A			A
33855			A			B
33856			A			A
33857			B			C
33862			B			B
33865			A			B
33870-33872		B			B
33873			A			A
33875-33876		B			B
33890			A			A
33921			A			B
33924			A			A
33927			A			A
33930			A			A
33935			A			A
33938			A			A
33944			A			B
33946-33949		A			A
33952-33954		A			A
33956-33957		A			A
33960			B			B
33975			A			A
33981			A			A
34137-34139		A			B
34140			A			A
34141			A			B
34142-34143		A			A
34216			A			A
34219			A			A
34223-34224		A			A
34251			A			A
34265-34267		A			A
34268			A			B
34269			A			A
34286-34291		A			A
34295			A			A
34423			A			A
34428-34429		A			A
34436			A			A
34446-34448		A			B
34449-34453		A			A
34460-34461		A			A
34464-34465		A			A
34484			A			A
34487			B			B
34498			A			B
34601-34611		A			A
34613-34614		A			A
34636			A			A
34661			A			A
34667-34669		A			A
34673-34674		A			A
34679			A			A
34737			A			A
34739			A			B
34748-34749		A			A
34762			A			A
34788-34789		A			A
34797			A			A
35010-35011		A			A
35019			A			A
35031-35032		A			A
35034-35035		A			A
35044-35046		A			A
35049			A			A
35051			A			A
35053			A			A
35070			A			A
35072			B			B
35077			A			A
35082-35083		A			A
35085			A			A
35087			A			A
35089			A			A
35098			A			B
35121			A			A
35136			A			A
35143			A			A
35149-35151		A			A
35171			A			A
35183			A			B
35186-35187		A			A
35440-35442		A			A
35443			A			B
35447-35448		A			A
35459-35460		A			B
35462			A			A
35464			B			C
35468			A			A
35470			A			A
35477			B			B
35481			A			A
35491			A			B
35540			A			B
35541-35542		A			A
35543-35544		B			B
35545-35546		A			A
35548			A			A
35551			A			B
35552			B			B
35553-35554		A			A
35555			A			B
35559			A			A
35563			A			B
35564			B			B
35565			A			B
35570-35571		B			B
35572			A			B
35574-35577		A			A
35581-35582		B			B
35585-35586		B			B
35592			A			B
35593			B			B
35594			A			A
35610			A			B
35616-35617		B			B
35630-35634		A			A
35645-35646		A			A
35647-35648		A			B
35651-35654		A			A
35660-35662		A			A
35674			A			A
35677			B			B
35740			A			A
35744			A			B
35745-35747		A			A
35751-35752		A			A
35755			A			A
35765-35766		A			A
35768-35769		A			A
35771-35772		A			A
35959-35964		A			A
35966-35968		A			A
35971			B			B
35973-35974		A			A
35975			A			B
35976			A			A
35978			A			A
35980-35981		A			A
35984			A			A
35986			A			A
35988-35989		A			A
36005-36006		A			A
36009			A			B
36010			A			A
36016			B			B
36017			A			B
36023-36024		A			A
36026-36027		A			A
36028			A			B
36029-36030		A			A
36031			A			B
36032			A			A
36034			B			B
36035			B			C
36036-36039		A			A
36042			A			A
36045			A			A
36048-36049		A			B
36051			A			A
36053			A			A
36061			B			B
36062			A			B
36071			A			B
36072			A			A
36078-36082		A			A
36083			A			B
36087-36089		A			A
36091			A			A
36251			A			A
36255			A			A
36256			B			B
36258			A			A
36261-36262		A			A
36263			A			B
36266			A			A
36267			B			B
36269			A			A
36273			A			A
36274			B			B
36275			A			A
36276			B			B
36278			A			A
36280			A			B
36310-36311		A			A
36313-36314		A			A
36316-36318		A			A
36323			A			A
36330-36331		A			A
36340			A			A
36346			B			B
36351			A			A
36373-36374		A			A
36420-36421		A			A
36425			A			B
36426-36427		A			A
36429			A			A
36435			B			B
36436			B			D
36439			A			A
36441			A			B
36442			B			C
36444			B			B
36445			A			B
36446			B			D
36449			A			B
36451			B			C
36453			B			B
36454			A			A
36455			B			C
36456			A			A
36457			A			B
36458			A			A
36460-36462		A			A
36467			B			B
36470-36471		A			B
36473-36474		A			A
36476			A			A
36477			B			B
36480			A			B
36481			B			B
36482			B			C
36483			B			B
36501			B			B
36502-36504		A			A
36507			A			A
36509			A			A
36511			A			A
36513			A			A
36515			B			C
36518			B			C
36522-36523		A			A
36524			B			D
36528			F			F
36529			A			A
36538			B			D
36539			B			B
36540			B			C
36542-36543		A			A
36545			B			B
36547			A			A
36548			B			B
36550			A			B
36553			A			A
36555-36556		A			A
36558			B			D
36560			A			A
36562			A			A
36569			B			B
36579-36581		A			A
36583			B			B
36584			A			B
36585			B			B
36720			A			A
36721			A			B
36722			B			B
36723			A			B
36726			A			B
36727			B			D
36728			A			B
36732			B			B
36736			B			D
36738			A			B
36740			B			B
36741-36742		A			B
36744			A			B
36745			B			B
36748			B			B
36750			A			A
36751			B			C
36752			A			A
36753			A			B
36754			B			C
36756			A			A
36761			A			A
36762			B			D
36763-36764		B			C
36765-36766		A			B
36768			A			B
36769			B			B
36773			A			A
36776			A			B
36782			B			C
36783			A			B
36784			B			D
36786			A			B
36790			A			A
36792-36793		A			B
36801-36804		A			A
36830-36832		A			A
36849			A			A
36850			A			B
36852			A			A
36853			B			B
36854			A			A
36855			B			B
36860			A			A
36861			B			B
36862			A			B
36863			A			A
36865-36866		A			A
36872			A			A
36879			A			A
36901			A			A
36904			A			B
36908			B			C
36910			A			B
36912			A			A
36913			A			B
36915			A			B
36916			B			C
36919			B			D
36921			B			C
36922			A			A
36925			A			A
37010			A			A
37012-37013		A			A
37016			A			A
37018			A			A
37020			A			A
37022			A			A
37023			A			B
37026			A			A
37028			A			B
37029			A			A
37031-37032		A			A
37036-37037		A			A
37040-37044		A			A
37050			B			B
37051-37052		A			B
37055-37059		A			A
37061			B			B
37063			A			A
37074			A			A
37078			A			B
37079			B			B
37083			A			A
37085			A			A
37095-37096		A			A
37097			B			B
37101			A			A
37110-37111		A			A
37115			A			A
37118			A			A
37134			A			A
37136-37137		A			A
37140			A			B
37141			A			A
37142			A			B
37145			A			A
37149-37151		A			A
37153			A			A
37160-37162		A			A
37165			A			B
37171			A			A
37175			A			B
37178			A			B
37181			A			B
37183-37186		A			A
37190-37191		A			B
37201-37217		A			A
37219-37220		A			A
37301			B			C
37303			B			B
37305			B			C
37306			A			A
37307			A			B
37308-37310		A			A
37313			A			B
37314			B			B
37316			A			A
37317			B			C
37318			A			B
37321			A			A
37322			B			B
37324			A			B
37325			A			A
37326			B			C
37327			A			A
37329-37330		A			B
37331			B			B
37332			A			A
37333			B			C
37334-37336		A			A
37337			B			B
37338			A			A
37339			A			B
37342			B			C
37345			A			A
37348			A			A
37349			B			B
37352			A			A
37354			A			A
37355			B			B
37356			A			B
37357			B			B
37359-37362		A			A
37365-37366		A			B
37367			A			A
37369			B			B
37370			A			A
37371			B			B
37374			A			A
37375			A			B
37376			B			C
37378			A			A
37381			A			B
37382			B			B
37383			A			B
37385			B			B
37387			A			B
37388-37389		B			B
37391			B			C
37394			B			B
37397-37398		A			A
37642			A			A
37680			A			B
37683			A			A
37688			A			A
37691			A			B
37707			A			B
37708			A			A
37711			A			B
37713			A			B
37715			A			B
37719			A			A
37722-37723		A			A
37724			A			B
37726			A			B
37727			A			A
37729-37730		A			B
37731			A			A
37732-37733		B			C
37738			F			F
37748			A			A
37752			A			B
37753			A			A
37755			A			A
37756			A			B
37760			A			A
37762-37763		A			A
37765			B			B
37766			A			A
37770			A			B
37773			A			A
37778			A			A
37809-37811		A			A
37813-37816		A			A
37818-37819		A			A
37821-37822		A			A
37824-37826		A			A
37829			A			A
37841			A			A
37843			A			A
37845-37847		A			A
37851-37852		B			C
37854			A			A
37857			A			A
37860			A			A
37862-37864		F			F
37866			A			A
37867			A			B
37868			F			F
37869			B			B
37870			A			B
37872			A			B
37873-37874		A			A
37876			F			F
37877-37881		A			A
37885			A			A
37887			A			B
37890			A			A
37891			A			B
37892			A			A
38007			A			A
38010			A			A
38015			A			A
38019			A			A
38024-38025		A			A
38030			A			A
38037			A			A
38039-38042		A			A
38044-38049		A			A
38052			A			A
38057			A			A
38059			A			A
38061			A			A
38063			A			A
38066-38070		A			A
38076			A			A
38077			B			C
38079-38080		B			C
38101-38107		A			A
38221-38222		A			A
38226			A			A
38232			B			B
38233			A			B
38237-38238		A			A
38240			B			B
38251			A			A
38253			A			A
38254			B			C
38257			A			A
38259			A			B
38260-38261		A			A
38271			A			A
38281			A			A
38310-38311		A			B
38315			A			A
38320			A			A
38326			B			B
38327-38333		A			A
38339			A			B
38341			A			A
38357			A			B
38359			A			A
38361			A			A
38363			A			A
38365			B			B
38367-38369		A			A
38370-38372		A			B
38374			A			B
38375			A			A
38376			A			B
38379			A			B
38380			A			A
38382			A			A
38389			A			A
38393			A			B
38425			B			C
38449			A			A
38450			B			C
38452			B			C
38453			A			B
38455-38456		A			A
38457			B			C
38459			A			A
38460			A			B
38462			A			B
38463			B			B
38464			A			A
38468			A			B
38469			B			C
38471			B			C
38473			A			B
38475			B			C
38476-38478		A			A
38481			B			C
38483			A			A
38485			B			C
38486			B			B
38488			A			A
38504			A			C
38542-38543		A			A
38547			A			A
38549-38551		A			A
38553-38555		A			A
38556			A			B
38557-38558		A			A
38560			A			A
38563			A			A
38565			A			A
38567-38569		A			A
38571-38573		A			A
38575			A			B
38577			B			B
38578-38579		A			A
38581			A			A
38585			A			A
38587-38588		A			A
38589			A			B
38601			B			B
38602			A			A
38603			A			B
38606			A			A
38609			B			C
38610			A			A
38614			B			B
38617			B			B
38619			A			A
38621			A			A
38622			A			B
38623			B			B
38625			A			A
38626			A			B
38627			A			A
38628			A			B
38629			A			A
38630-38631		B			B
38633-38635		A			A
38638			A			A
38639			B			C
38642			A			A
38643-38645		B			C
38646			B			B
38647			A			A
38649			A			A
38655			A			A
38659			A			A
38661			A			A
38663			A			A
38665-38666		A			A
38668			A			A
38669			B			B
38670			A			B
38673-38674		A			A
38675			A			B
38676			A			A
38677			A			B
38683			A			A
38685			A			A
38720			B			B
38721			A			C
38722			A			A
38726			A			A
38730			A			B
38731			A			A
38732-38733		A			B
38736			A			B
38737-38739		B			C
38740			B			D
38744-38746		A			B
38748-38749		A			A
38751			A			A
38753			A			A
38754			A			B
38759			B			B
38761			A			A
38762			B			C
38764			B			B
38765			A			B
38767			B			B
38768			B			C
38769			A			A
38771			A			B
38773			A			A
38774			B			C
38778			A			B
38781			B			C
38825			A			A
38827			A			B
38829			A			A
38833			B			B
38834			A			B
38835			B			B
38838			A			B
38839			A			A
38844			A			A
38846-38847		A			B
38848			A			A
38850-38851		A			A
38852			B			D
38856			A			A
38859			A			A
38865			A			A
38870			A			A
38873			A			B
38874-38878		A			A
38913			A			B
38914			A			A
38915			A			B
38916-38917		A			A
38921-38922		A			A
38923			A			B
38924			B			B
38927-38928		A			B
38930			A			A
38935			A			A
38941			A			B
38943			A			A
38944			A			B
38945			A			A
38946			B			C
38947-38948		A			A
38949			A			C
38950-38951		A			A
38952			A			B
38954			A			B
38955			A			A
38957			B			C
38958			A			B
38959			B			C
38962			A			A
38963			B			C
38964			B			D
38965			A			A
38966			A			C
38967			A			A
39038-39039		A			B
39040			A			A
39045			A			B
39051			A			B
39054			A			B
39057			A			B
39061			A			B
39062			A			A
39063			B			B
39067			B			B
39069			B			C
39074			A			B
39078			A			A
39079-39080		A			B
39081			B			B
39083			A			A
39086-39087		A			B
39088			B			B
39090			B			B
39092			A			A
39094			A			B
39095			B			B
39096			B			C
39097			B			B
39098			A			A
39107-39109		B			B
39111			A			B
39113			A			B
39114			A			A
39115			B			C
39116-39117		A			A
39119			A			A
39120-39122		B			C
39140			A			B
39144			B			C
39146			A			B
39149			A			B
39150			B			C
39151-39152		A			A
39153			A			B
39156			A			B
39159			A			B
39160			B			B
39162			A			B
39163			A			A
39165			B			C
39166			B			B
39168			A			A
39169			B			B
39171			B			C
39173			A			A
39175-39176		A			A
39177			B			B
39179-39183		A			A
39189			B			C
39190			B			B
39191-39192		A			A
39194			A			B
39322			B			B
39324			B			B
39327-39328		A			A
39336			A			A
39338			A			B
39339			B			B
39341			A			A
39345			A			A
39346			B			B
39347-39348		A			A
39350			A			A
39352			A			A
39354			A			A
39356			A			A
39358-39359		A			B
39360			A			A
39361			A			B
39362			B			C
39363			A			A
39365-39366		A			A
39367			B			B
39421			A			A
39422			B			B
39423			A			A
39426			B			B
39427			A			B
39428-39429		A			A
39439-39443		A			A
39451			B			C
39452			A			B
39455			A			A
39456-39457		A			B
39460-39461		A			B
39463			A			B
39466			A			B
39470			A			B
39474			A			B
39477-39478		A			B
39480			A			A
39481			A			B
39483			A			A
39522			A			A
39529			A			A
39552-39553		A			A
39555-39556		A			A
39558			A			A
39562-39563		A			A
39567-39569		A			A
39572-39573		A			A
39577			A			A
39581			A			A
39595			A			A
39601-39603		A			A
39630-39631		A			B
39633			A			B
39638			A			A
39641			A			A
39643			A			A
39645			A			A
39647			A			B
39653-39654		A			B
39656			B			C
39661			B			B
39663			B			C
39665			B			C
39667			A			A
39668			B			D
39669			B			B
39730			A			A
39735			B			C
39737			A			B
39739			A			A
39741			A			A
39743			A			A
39744			B			B
39745			B			C
39747			A			A
39750			A			B
39751			B			C
39752			A			B
39754			A			C
39755			A			B
39756			A			A
39759-39760		A			A
39762			A			A
39767			A			B
39769			A			B
39771			A			B
39772			B			C
39773			A			A
39776			B			B
39813			A			A
39817-39819		A			A
39823-39825		A			A
39827-39828		A			A
39834			A			A
39836			A			B
39837			A			A
39840			A			B
39841			A			A
39845			A			B
39846			A			A
39851-39852		A			A
39854			B			B
39859			A			A
39861			A			A
39866			A			A
39867			B			B
39870			A			A
39877			A			A
39886			A			A
39897			A			A
40003			A			A
40006			A			A
40007			A			B
40008			A			A
40009			A			B
40011-40012		A			A
40019-40020		A			A
40033			A			A
40036			A			B
40040			A			A
40045-40046		A			A
40049-40050		A			A
40057-40058		A			A
40061			A			A
40063			A			A
40069-40070		A			A
40075-40076		A			A
40078			A			A
40104			A			A
40111			A			A
40119			A			A
40143-40144		A			A
40152-40153		A			B
40157			A			A
40161			A			B
40170-40171		A			B
40178			A			A
40311			A			A
40313			A			B
40317			A			B
40319			A			B
40322			A			A
40328			A			B
40330			A			A
40334			A			A
40336			A			B
40337			A			A
40346			A			A
40350-40351		A			B
40353			A			A
40355			A			B
40358			A			A
40359-40360		A			B
40363			B			C
40366			A			A
40371			A			B
40374			A			A
40385			A			A
40403-40405		A			A
40422-40423		A			A
40437			A			A
40440			A			A
40444			A			A
40446			A			A
40448			A			A
40452			A			B
40461			A			A
40464			A			B
40468			A			B
40472			A			A
40481			A			A
40484			A			A
40488			A			A
40492			A			A
40801			B			C
40803			A			B
40806-40807		B			C
40808			A			B
40810			A			B
40813			B			B
40815			B			C
40816			A			B
40818-40820		B			D
40823			A			B
40824			B			C
40826-40827		A			B
40828			B			D
40829-40831		B			C
40840			A			B
40843			B			C
40844			A			A
40845			B			D
40847			B			D
40849			B			C
40854-40856		B			C
40858			A			B
40862			B			C
40863			B			D
40865			B			C
40868			A			A
40870			B			C
40873			B			C
40874			A			B
40902			B			C
40903			A			B
40906			A			A
40913			B			C
40914			A			A
40915			A			B
40921			A			A
40923			A			A
40927			B			C
40930			A			B
40931-40932		A			A
40935			A			B
40939			A			B
40940			B			C
40941			A			A
40943-40944		A			A
40946			A			A
40949			A			A
40953			A			A
40955			B			C
40958			B			C
40962			A			A
40964			B			C
40965			B			B
40972			A			B
40977			A			C
40979			A			B
40981			A			B
40982			A			C
40983			A			B
40988			B			C
40995			A			B
40997			A			B
41002-41004		A			A
41008			A			A
41010			A			A
41034			A			B
41037			A			B
41039			A			B
41040			A			A
41041			A			B
41044-41045		A			B
41046			A			A
41049			B			C
41052			A			A
41054-41055		A			A
41056			B			B
41061-41062		A			B
41064			A			B
41065			B			C
41081			B			B
41083			A			A
41086			A			A
41093			B			C
41095			A			A
41096			A			B
41097			A			A
41098			A			B
41121			A			A
41124			B			C
41128			A			B
41132			A			B
41135			B			B
41141			B			C
41142			A			B
41143-41144		A			A
41146			A			A
41149			A			B
41159			B			C
41160			A			C
41164			A			B
41166			B			B
41168			A			A
41171			A			B
41173			B			B
41174-41175		A			B
41179			B			B
41180-41181		A			B
41183			A			A
41189			B			B
41201			A			B
41203-41204		A			B
41214			A			B
41216			A			A
41219			A			B
41222			A			B
41224			B			C
41226			A			C
41230-41232		A			B
41234			A			B
41238			A			B
41240			A			B
41250			A			C
41254-41257		A			B
41260			A			B
41262			B			C
41263-41265		A			B
41267-41268		A			B
41271			A			B
41274			A			B
41307			A			B
41310-41311		A			A
41314			A			B
41317			A			A
41333			A			A
41338			A			B
41347-41348		A			A
41351			A			B
41362			A			A
41364			A			B
41366			A			B
41386			A			B
41390			A			A
41413			A			B
41421			A			B
41425			A			A
41426			A			B
41451			A			A
41459			A			C
41464-41465		A			B
41472			A			A
41477			A			B
41503			A			A
41512			A			A
41514			A			A
41517			A			B
41520			A			A
41522			A			A
41524			A			A
41527			A			A
41528			A			B
41531			A			A
41534			A			A
41537			A			B
41540			A			A
41542-41543		A			A
41544			A			B
41547			A			B
41548-41549		A			A
41553			A			B
41554-41555		A			A
41558			A			B
41563			A			A
41566			A			B
41567			A			A
41568			A			B
41601			A			A
41602			A			B
41604			A			A
41606-41607		A			A
41612			A			A
41616			A			B
41619			A			A
41621			A			A
41622			A			B
41630			A			B
41632			A			B
41636			A			B
41640			A			B
41643			A			B
41645			A			B
41647			A			A
41649-41651		A			A
41653			A			A
41655			A			A
41660			A			A
41666			A			B
41667			A			A
41669			A			A
41714			A			B
41721			A			A
41735			A			A
41745			A			A
41762			A			A
41772			A			A
41775			A			A
41777			A			A
41804			A			A
41810			A			B
41812			A			B
41815			A			B
41817			A			A
41819			A			B
41821			A			A
41824			A			A
41825			A			B
41826			A			A
41828			A			B
41831-41832		A			A
41833			A			B
41835			A			B
41836			A			A
41837-41838		A			B
41839			A			A
41840			A			B
41843-41844		A			A
41845			A			B
41848			A			A
41849			A			B
41855			A			B
41858-41859		A			B
41861-41862		A			B
42020-42021		A			A
42023			A			A
42025			A			A
42028			A			A
42031-42032		A			B
42033			B			B
42036			A			A
42037			A			B
42038			A			A
42039			A			B
42040-42041		A			A
42045			A			A
42047-42049		A			A
42050			B			B
42054-42055		A			A
42063			A			A
42064			A			B
42066			A			A
42070-42071		A			A
42076			A			A
42078			A			B
42079			A			A
42083			A			A
42084			A			B
42085			A			A
42087-42088		A			A
42123			A			A
42124			A			B
42127			A			A
42129			A			B
42130-42131		A			A
42133			A			A
42140			A			B
42141-42142		A			A
42151			A			B
42152-42153		A			A
42154			A			B
42156			A			A
42157			A			B
42166			A			B
42167			B			B
42202			A			A
42204			A			B
42207			A			A
42211			B			B
42214			A			B
42215			B			B
42216			A			B
42217			B			B
42220-42221		A			B
42223			B			B
42232			B			B
42234			A			B
42236			B			B
42240-42241		B			B
42252			A			A
42254			B			C
42256			A			A
42259			A			A
42262			B			B
42265			A			A
42266			B			B
42273			A			A
42275			A			A
42280			A			B
42286			A			B
42320			A			A
42321			A			B
42322			A			A
42323-42324		A			B
42325			A			A
42326			A			B
42328			A			A
42330			A			A
42332			A			B
42333			A			A
42337-42339		A			B
42343			A			A
42344-42345		A			B
42347			A			A
42349			A			B
42354			A			A
42361			A			B
42367			A			A
42369			A			A
42370			A			B
42372			A			A
42374			A			A
42404			A			B
42408			B			B
42409-42410		A			B
42411			A			A
42413			A			A
42431			A			A
42436-42437		A			A
42440-42441		A			B
42442			B			B
42445			A			A
42450			A			B
42453			B			B
42456			A			A
42459			A			A
42460			A			B
42461			A			A
42463-42464		A			B
42528			A			A
42539			A			B
42541			A			A
42565-42566		A			A
42602			B			B
42603			A			A
42629			A			A
42631			A			A
42633-42634		A			A
42635			A			B
42638			A			B
42642			A			A
42647			A			A
42649			A			B
42653			A			A
42715			B			B
42717			B			C
42718-42719		A			A
42720-42721		A			B
42722			A			A
42726			A			A
42728-42729		A			B
42731			B			B
42733			A			B
42741-42743		A			B
42746			A			A
42749			A			A
42753			A			B
42754-42755		A			A
42758			A			B
42759			B			C
42762			A			A
42765			A			A
42782			A			A
43005-43006		A			A
43009-43011		A			A
43014			A			A
43028-43029		A			A
43047-43048		A			A
43060			A			A
43070-43071		A			A
43078			A			A
43080			A			A
43083-43084		A			A
43106			A			A
43111			A			A
43127-43128		A			A
43138			A			A
43142			A			A
43144			A			A
43149			A			A
43151			A			A
43153			A			A
43155			A			A
43158			A			A
43205			A			A
43215			A			A
43310-43311		A			A
43316			A			A
43318-43319		A			A
43324			A			A
43326			A			A
43330			A			A
43333-43334		A			A
43336			A			B
43340			A			A
43343			A			B
43345			A			A
43347			A			A
43350			A			A
43357-43360		A			A
43407			A			A
43410			A			A
43413			A			A
43420			A			A
43433			A			B
43435			A			A
43436			B			B
43437			A			A
43438			B			B
43439-43440		A			A
43442			A			A
43446			B			B
43452			A			A
43456-43457		A			A
43464			A			A
43466-43467		A			A
43501-43502		A			A
43505			A			A
43506			B			B
43510-43512		A			A
43516-43518		A			A
43519			B			B
43520-43521		A			A
43523-43524		A			A
43527			A			A
43529-43536		A			A
43541			A			A
43543			B			B
43545			A			A
43548-43550		A			A
43553-43556		A			A
43557			B			B
43567			A			A
43569-43570		A			A
43711			A			A
43713			A			A
43716			A			B
43717			A			A
43722-43725		A			A
43728			A			A
43730			A			A
43733			A			A
43736			A			A
43747			A			B
43748-43750		A			A
43752			A			B
43754			A			B
43755-43756		A			A
43757			A			B
43758			A			A
43766			A			A
43768			A			A
43772			A			A
43773			A			B
43778-43779		A			B
43780			A			A
43782			A			A
43786			A			B
43787			A			A
43788			A			B
43793			A			B
43803-43805		A			A
43811-43812		A			A
43824			A			A
43828			A			A
43832			A			A
43836-43837		A			A
43840			A			A
43843			A			B
43844-43845		A			A
43902			A			A
43903			A			B
43908			A			B
43910			A			A
43914-43915		A			A
43920			A			A
43925			A			B
43926			A			A
43930			A			B
43931			A			A
43932			A			B
43944-43945		A			A
43946			A			B
43952-43953		A			A
43961-43962		A			A
43964			A			A
43968			A			A
43970			A			B
43973			A			B
43976			A			A
43983-43986		A			A
43988			A			A
44003-44005		A			A
44010			A			A
44032			A			A
44041			A			A
44047-44049		A			A
44057			A			A
44062			A			A
44064			A			A
44068			A			A
44076			A			A
44082			A			A
44084-44086		A			A
44088-44090		A			A
44093			A			A
44099			A			A
44106			A			A
44113			A			A
44115			A			A
44144			A			A
44610			A			A
44617			A			A
44621			A			A
44627-44629		A			A
44631			A			A
44633			A			A
44637			A			A
44639			A			A
44651			A			A
44653-44654		A			A
44676			A			A
44679			A			A
44681-44683		A			A
44691			A			A
44693			A			A
44695			A			A
44699			A			A
44802			A			A
44804			A			A
44807			A			A
44809			A			A
44811			A			A
44814-44818		A			A
44824			A			A
44826			A			A
44828			A			A
44830			A			A
44836			A			A
44839			A			A
44841			A			A
44844-44847		A			A
44853			A			A
44855			A			A
44857			A			A
44861			A			A
44867			A			A
44870-44871		A			A
44882-44883		A			A
44889			A			A
45101			B			B
45105			B			C
45107			A			A
45110			A			A
45113-45114		A			A
45115			A			B
45118-45119		A			A
45121			A			A
45130-45131		A			A
45133			A			A
45138			A			A
45142			A			B
45144			B			C
45146			A			A
45148			A			A
45154-45155		A			A
45159			A			A
45166			A			A
45167			A			B
45168-45169		A			A
45171			A			A
45202-45204		A			A
45210			A			A
45219-45220		A			A
45226			A			A
45229			A			A
45303			A			A
45310			A			B
45317			A			A
45321			A			A
45328			A			A
45331-45333		A			A
45340			A			A
45346-45347		A			A
45348			A			B
45350-45353		A			A
45360			A			A
45362-45363		A			A
45365			A			A
45367			A			A
45380			A			A
45382			A			A
45388			A			A
45613			A			A
45614			A			B
45616			B			C
45618			B			C
45620			A			B
45621			A			A
45622			A			B
45624			A			A
45629			A			A
45630			B			B
45631			A			A
45634			A			A
45636			A			A
45640			A			A
45643			A			B
45645-45646		A			A
45648			A			A
45650			B			C
45651			A			B
45652-45653		A			A
45654			A			B
45656			A			A
45657			A			B
45658-45659		A			A
45660			A			B
45662			A			A
45663			A			B
45671			A			B
45674			A			B
45677			A			A
45679			B			C
45682			B			B
45683			A			B
45684			B			D
45685			A			A
45686			B			C
45687-45688		A			A
45692			A			A
45693			B			C
45694			A			A
45695			A			B
45697			B			C
45698			A			B
45699			A			A
45701			A			A
45710			A			B
45711			A			A
45715			A			A
45716			A			B
45717			B			B
45719			A			B
45720-45721		A			A
45727			A			A
45732			A			B
45734			B			C
45735			A			A
45740-45741		A			B
45743-45746		A			A
45760-45761		A			B
45764			A			B
45766			A			B
45767			A			A
45769-45770		A			A
45771			A			B
45772			A			A
45775			A			B
45776-45778		A			A
45779-45780		A			B
45782			A			B
45786			A			A
45789			A			B
45815			A			A
45821-45822		A			A
45826			A			A
45828			A			A
45831			A			A
45839-45840		A			A
45845-45846		A			A
45849			A			A
45851			A			A
45855			A			A
45858			A			A
45860-45861		A			A
45864-45867		A			A
45869			A			A
45871-45874		A			A
45879			A			A
45882-45883		A			A
45886			A			A
45889-45891		A			A
45898-45899		A			A
46102			A			A
46105			A			A
46115			A			A
46121			A			A
46125			A			A
46127-46128		A			A
46133			A			A
46135			A			A
46146-46147		A			A
46156			A			A
46172-46173		A			A
46175			A			B
46202			A			A
46204			A			A
46301			A			A
46302			A			B
46303-46304		A			A
46307-46308		A			A
46310			A			A
46340-46342		A			A
46345-46346		A			A
46347-46348		A			B
46355			A			A
46360-46361		A			A
46366			B			B
46368			A			A
46373			A			A
46374			A			B
46380			A			B
46382-46385		A			A
46390-46393		A			A
46502			A			A
46508			A			A
46510-46511		A			A
46524			A			A
46532			A			A
46534			A			A
46538-46539		A			A
46542-46543		A			A
46555			A			A
46562			A			A
46565			A			A
46567			A			A
46570-46571		A			A
46580-46582		A			A
46590			A			A
46701-46703		A			A
46705			A			A
46711			A			A
46713			A			A
46721			A			A
46730			A			A
46732			A			A
46737			A			A
46740			A			A
46742			A			A
46746-46747		A			A
46759-46761		A			A
46766-46767		A			A
46769			A			A
46771			B			B
46776			A			A
46778-46779		A			A
46781			A			A
46784			A			A
46786			A			A
46789			A			A
46792			A			A
46794-46795		A			A
46910			A			A
46912-46913		A			A
46916-46917		A			A
46921			A			A
46922			A			B
46926			A			A
46928-46931		A			A
46933			A			A
46935			A			A
